,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
69,69.0,69.0,69.0,2018-11-30,6902.240234,6951.129883,6872.290039,6949.009766,6949.009766,2547970000
70,70.0,70.0,70.0,2018-12-03,7106.839844,7107.0,7013.200195,7062.129883,7062.129883,2643150000
71,71.0,71.0,71.0,2018-12-04,7026.810059,7045.680176,6785.850098,6795.209961,6795.209961,2655720000
72,72.0,72.0,72.0,2018-12-06,6652.129883,6840.5,6630.819824,6838.850098,6838.850098,2857650000
73,73.0,73.0,73.0,2018-12-07,6806.629883,6849.379883,6594.540039,6613.279785,6613.279785,2504680000
74,74.0,74.0,74.0,2018-12-10,6603.359863,6710.390137,6534.330078,6682.740234,6682.740234,2380270000
75,75.0,75.0,75.0,2018-12-11,6782.410156,6788.470215,6650.830078,6704.240234,6704.240234,2286810000
76,76.0,76.0,76.0,2018-12-12,6800.549805,6867.660156,6761.779785,6763.959961,6763.959961,2427080000
77,77.0,77.0,77.0,2018-12-13,6805.700195,6833.779785,6724.040039,6767.970215,6767.970215,2162210000
78,78.0,78.0,78.0,2018-12-14,6679.910156,6710.410156,6585.310059,6594.959961,6594.959961,2218330000
79,79.0,79.0,79.0,2018-12-17,6571.0,6621.629883,6399.549805,6448.390137,6448.390137,2697400000
80,80.0,80.0,80.0,2018-12-18,6503.120117,6551.040039,6434.600098,6491.52002,6491.52002,2623270000
81,81.0,81.0,81.0,2018-12-19,6480.310059,6575.390137,6284.720215,6342.970215,6342.970215,2919140000
82,82.0,82.0,82.0,2018-12-20,6312.720215,6380.970215,6161.850098,6243.189941,6243.189941,3282440000
83,83.0,83.0,83.0,2018-12-21,6293.049805,6308.310059,6013.97998,6046.560059,6046.560059,4571670000
84,84.0,84.0,84.0,2018-12-24,5994.080078,6075.169922,5895.120117,5899.350098,5899.350098,1647440000
85,85.0,85.0,85.0,2018-12-26,5969.080078,6263.819824,5921.859863,6262.77002,6262.77002,2572890000
86,86.0,86.0,86.0,2018-12-27,6168.600098,6291.990234,6043.450195,6288.299805,6288.299805,2449110000
87,87.0,87.0,87.0,2018-12-28,6326.620117,6388.359863,6233.689941,6285.27002,6285.27002,2216250000
88,88.0,88.0,88.0,2018-12-31,6354.850098,6365.390137,6273.939941,6329.970215,6329.970215,2109320000
89,89.0,89.0,89.0,2019-01-02,6198.680176,6394.740234,6198.680176,6360.870117,6360.870117,2261800000
90,90.0,90.0,90.0,2019-01-03,6274.759766,6292.680176,6139.399902,6147.129883,6147.129883,2631550000
91,91.0,91.0,91.0,2019-01-04,6250.049805,6445.200195,6234.589844,6422.669922,6422.669922,2596150000
92,92.0,92.0,92.0,2019-01-07,6434.549805,6521.439941,6412.97998,6488.25,6488.25,2523450000
93,93.0,93.0,93.0,2019-01-08,6555.910156,6574.72998,6457.0,6551.850098,6551.850098,2407340000
94,94.0,94.0,94.0,2019-01-09,6576.540039,6631.060059,6549.439941,6600.689941,6600.689941,2434500000
95,95.0,95.0,95.0,2019-01-10,6551.049805,6625.109863,6517.540039,6620.939941,6620.939941,2190110000
96,96.0,96.0,96.0,2019-01-11,6579.890137,6604.560059,6562.040039,6601.399902,6601.399902,2074310000
97,97.0,97.0,97.0,2019-01-14,6536.370117,6566.870117,6512.640137,6541.040039,6541.040039,1960780000
98,98.0,98.0,98.0,2019-01-15,6571.149902,6674.529785,6567.319824,6669.640137,6669.640137,2066090000
99,99.0,99.0,99.0,2019-01-16,6677.379883,6720.410156,6665.049805,6668.560059,6668.560059,2163730000
100,100.0,100.0,100.0,2019-01-17,6646.189941,6747.279785,6637.100098,6718.450195,6718.450195,2149280000
101,101.0,101.0,101.0,2019-01-18,6771.52002,6816.22998,6727.939941,6784.609863,6784.609863,2459920000
102,102.0,102.0,102.0,2019-01-22,6736.649902,6738.569824,6603.560059,6646.810059,6646.810059,2397660000
103,103.0,103.0,103.0,2019-01-23,6689.080078,6712.859863,6584.5,6658.759766,6658.759766,2288090000
104,104.0,104.0,104.0,2019-01-24,6680.339844,6710.72998,6656.52002,6702.549805,6702.549805,2419110000
105,105.0,105.0,105.0,2019-01-25,6755.669922,6800.970215,6733.319824,6787.370117,6787.370117,2446550000
