Date,Close/Last,Volume,Open,High,Low
12/18/2020,12738.18,--,12786.92,12793.47,12611.22
12/17/2020,12752.06,--,12741.64,12760.97,12685.98
12/16/2020,12668.16,--,12607.87,12698.11,12568.71
12/15/2020,12595.92,--,12565.28,12596.84,12467.57
12/14/2020,12462.21,--,12427.86,12544.31,12426.25
12/11/2020,12375.41,--,12327.07,12378.61,12236.80
12/10/2020,12401.74,--,12268.47,12447.85,12226.13
12/09/2020,12364.64,--,12626.97,12643.24,12311.30
12/08/2020,12635.72,--,12574.84,12651.35,12504.97
12/07/2020,12596.47,--,12523.57,12610.00,12523.12
12/04/2020,12528.48,--,12479.91,12531.21,12450.51
12/03/2020,12467.13,--,12469.16,12538.92,12445.36
12/02/2020,12456.41,--,12390.58,12472.25,12318.27
12/01/2020,12455.33,--,12387.62,12510.02,12338.36
11/30/2020,12268.32,--,12278.78,12299.61,12090.93
11/27/2020,12258.21,--,12220.37,12306.71,12214.44
11/25/2020,12152.22,--,12112.11,12174.99,12081.51
11/24/2020,12079.81,--,11952.70,12094.16,11878.31
11/23/2020,11905.94,--,11959.89,12001.83,11817.53
11/20/2020,11906.44,--,11976.00,12017.42,11903.57
11/19/2020,11985.43,--,11863.12,12000.29,11842.66
11/18/2020,11894.71,--,11963.36,12027.15,11892.54
11/17/2020,11977.49,--,12030.27,12047.13,11964.20
11/16/2020,12013.38,--,11925.36,12035.50,11891.85
11/13/2020,11937.84,--,11910.62,11957.09,11808.95
11/12/2020,11827.14,--,11924.15,11976.89,11786.09
11/11/2020,11892.93,--,11734.81,11904.13,11714.32
11/10/2020,11624.29,--,11704.46,11761.95,11512.46
11/09/2020,11830.39,--,12194.71,12268.66,11818.24
11/06/2020,12091.35,--,12044.29,12116.91,11895.50
11/05/2020,12078.07,--,12021.77,12117.04,11977.07
11/04/2020,11777.02,--,11627.76,11846.46,11564.91
11/03/2020,11279.91,--,11155.84,11356.08,11115.55
11/02/2020,11084.76,--,11152.48,11222.52,10957.11
10/30/2020,11052.95,--,11265.70,11293.76,10960.02
10/29/2020,11350.74,--,11214.33,11467.37,11187.08
10/28/2020,11142.76,--,11400.48,11426.10,11136.10
10/27/2020,11598.95,--,11560.86,11633.49,11503.10
10/26/2020,11504.52,--,11584.17,11708.08,11360.73
10/23/2020,11692.57,--,11680.72,11693.01,11569.09
10/22/2020,11662.91,--,11712.64,11739.22,11529.73
10/21/2020,11665.37,--,11686.19,11789.46,11646.47
10/20/2020,11677.84,--,11679.08,11801.39,11613.76
10/19/2020,11634.35,--,11913.01,11962.47,11606.48
10/16/2020,11852.17,--,11952.12,12034.13,11824.14
10/15/2020,11898.57,--,11767.27,11928.63,11765.49
10/14/2020,11985.36,--,12105.10,12159.21,11913.57
10/13/2020,12083.17,--,12131.07,12187.78,12032.75
10/12/2020,12088.11,--,11900.12,12204.75,11880.23
10/09/2020,11725.85,--,11615.57,11727.60,11600.86
10/08/2020,11550.94,--,11576.44,11582.78,11510.24
10/07/2020,11503.19,--,11412.65,11519.55,11382.48
10/06/2020,11291.27,--,11476.68,11536.42,11256.26
10/05/2020,11509.06,--,11345.24,11512.06,11336.07
10/02/2020,11255.69,--,11328.85,11479.08,11225.17
10/01/2020,11583.20,--,11554.96,11606.73,11488.60
09/30/2020,11418.06,--,11328.55,11535.01,11328.55
09/29/2020,11322.95,--,11354.70,11396.22,11305.79
09/28/2020,11364.45,--,11332.32,11369.40,11243.24
09/25/2020,11151.13,--,10910.50,11177.73,10851.68
09/24/2020,10896.47,--,10746.35,11026.43,10728.41
09/23/2020,10833.33,--,11167.22,11179.59,10806.05
09/22/2020,11186.37,--,11082.09,11207.08,10943.26
09/21/2020,10980.22,--,10768.01,10984.76,10677.85
09/18/2020,10936.98,--,11147.80,11153.97,10769.40
09/17/2020,11080.95,--,10965.74,11160.04,10936.80
09/16/2020,11247.60,--,11467.90,11486.09,11242.96
09/15/2020,11438.87,--,11432.94,11495.40,11367.20
09/14/2020,11277.76,--,11250.80,11363.25,11192.82
09/11/2020,11087.40,--,11251.19,11280.41,10945.22
09/10/2020,11154.12,--,11501.43,11566.34,11095.94
09/09/2020,11395.85,--,11308.25,11480.37,11197.13
09/08/2020,11068.26,--,11143.91,11400.45,11055.16
09/04/2020,11622.13,--,11686.24,11846.18,11145.99
09/03/2020,11771.37,--,12195.75,12235.00,11662.11
09/02/2020,12420.54,--,12417.45,12439.48,12176.18
09/01/2020,12292.86,--,12203.36,12300.44,12132.78
08/31/2020,12110.70,--,12017.46,12167.46,12000.11
08/28/2020,11995.85,--,11992.68,12018.14,11928.69
08/27/2020,11926.16,--,11997.89,12047.99,11842.84
08/26/2020,11971.94,--,11779.35,11979.65,11768.00
08/25/2020,11721.81,--,11610.58,11723.94,11580.89
08/24/2020,11626.17,--,11703.34,11728.09,11535.55
08/21/2020,11555.16,--,11476.85,11574.79,11461.53
08/20/2020,11477.05,--,11277.05,11497.18,11268.46
08/19/2020,11318.64,--,11397.23,11440.22,11303.40
08/18/2020,11399.03,--,11339.76,11421.10,11279.08
08/17/2020,11288.57,--,11231.97,11306.47,11228.14
08/14/2020,11164.45,--,11187.82,11213.27,11106.93
08/13/2020,11178.37,--,11174.64,11271.22,11139.64
08/12/2020,11157.72,--,10972.07,11190.26,10970.87
08/11/2020,10876.08,--,11039.68,11090.92,10855.06
08/10/2020,11085.17,--,11153.51,11159.38,10941.87
08/07/2020,11139.39,--,11235.23,11276.30,11044.60
08/06/2020,11267.08,--,11116.49,11282.23,11090.50
08/05/2020,11125.44,--,11107.24,11141.68,11077.70
08/04/2020,11096.54,--,11075.04,11097.85,11002.55
08/03/2020,11055.08,--,11018.02,11085.50,10997.67
07/31/2020,10905.88,--,10886.36,10908.34,10707.40
07/30/2020,10715.51,--,10578.62,10737.03,10531.79
07/29/2020,10662.98,--,10602.40,10694.88,10587.19
07/28/2020,10532.50,--,10644.33,10662.19,10527.43
07/27/2020,10674.38,--,10547.11,10689.55,10527.64
07/24/2020,10483.13,--,10389.53,10543.42,10313.94
07/23/2020,10580.59,--,10853.16,10885.38,10531.21
07/22/2020,10870.75,--,10850.92,10910.24,10776.24
07/21/2020,10833.07,--,11015.54,11017.43,10800.87
07/20/2020,10952.08,--,10672.96,10971.52,10621.90
07/17/2020,10645.22,--,10651.59,10680.70,10558.78
07/16/2020,10626.46,--,10589.86,10658.90,10495.09
07/15/2020,10701.68,--,10752.11,10780.40,10570.96
07/14/2020,10689.52,--,10502.85,10701.88,10370.79
07/13/2020,10602.21,--,10951.54,11069.26,10574.56
07/10/2020,10836.33,--,10751.77,10842.78,10639.48
07/09/2020,10754.59,--,10745.87,10785.96,10574.97
07/08/2020,10666.70,--,10594.41,10669.13,10528.82
07/07/2020,10524.01,--,10595.94,10704.93,10516.63
07/06/2020,10604.06,--,10487.70,10625.10,10485.81
07/02/2020,10341.89,--,10386.38,10432.55,10328.78
07/01/2020,10279.25,--,10160.41,10321.77,10142.75
06/30/2020,10156.85,--,9970.21,10185.35,9956.83
06/29/2020,9961.16,--,9850.55,9965.08,9742.89
06/26/2020,9849.36,--,10087.08,10093.98,9837.74
06/25/2020,10101.83,--,10003.50,10110.29,9901.21
06/24/2020,10002.70,--,10183.77,10232.42,9943.24
06/23/2020,10209.82,--,10192.42,10306.90,10172.07
06/22/2020,10130.33,--,10009.00,10134.64,9989.49
06/19/2020,10008.64,--,10104.63,10121.67,9937.81
06/18/2020,10012.05,--,9972.35,10018.56,9942.11
06/17/2020,9982.48,--,9998.86,10058.65,9952.50
06/16/2020,9949.37,--,9983.65,10010.89,9801.45
06/15/2020,9776.89,--,9517.14,9809.41,9489.58
06/12/2020,9663.77,--,9785.58,9849.01,9499.10
06/11/2020,9588.48,--,9907.56,9978.19,9586.25
06/10/2020,10094.26,--,10037.98,10155.20,10022.44
06/09/2020,9967.17,--,9861.18,10006.90,9859.00
06/08/2020,9901.52,--,9805.69,9904.52,9753.87
06/05/2020,9824.39,--,9673.09,9846.63,9659.45
06/04/2020,9629.66,--,9672.17,9741.97,9577.71
06/03/2020,9704.69,--,9689.72,9729.69,9648.93
06/02/2020,9657.31,--,9603.18,9660.08,9511.88
06/01/2020,9598.89,--,9526.43,9609.38,9515.34
05/29/2020,9555.52,--,9440.64,9573.55,9379.93
05/28/2020,9416.71,--,9404.83,9568.89,9391.84
05/27/2020,9442.05,--,9366.63,9445.06,9182.45
05/26/2020,9389.98,--,9570.53,9570.53,9379.90
05/22/2020,9413.99,--,9363.68,9421.93,9325.07
05/21/2020,9377.99,--,9487.63,9515.05,9361.83
05/20/2020,9485.02,--,9415.25,9498.28,9412.83
05/19/2020,9298.54,--,9326.28,9422.90,9296.25
05/18/2020,9331.93,--,9281.36,9367.54,9248.78
