Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,Close_Lag_5,Close_Lag_4,Close_Lag_3,Close_Lag_2,Close_Lag_1,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram
2023-10-13,5,15225.730469,15232.370117,14943.419922,14995.120117,14995.120117,4251550000,230.6103519999997,288.95019500000126,-0.01514609446617544,-0.018969483591888305,0,-177.6103519999997,0,81.47001950000012,4600118000.0,186.13801220051894,177.6103519999997,0,0.9242262915864332,14900,14973.240234,15047.150391,15131.519531,15241.120117,15184.099609,14858.974874480367,14949.185820283818,-90.21094580345016,-177.89233426098284,87.68138845753268
2023-10-12,4,15264.110352,15333.980469,15090.69043,15184.099609,15184.099609,4858620000,80.01074299999891,243.29003899999952,-0.005241756064054883,-0.015866072054274996,1,188.9794920000004,0,107.45292960000006,4596490000.0,180.56458910620952,188.9794920000004,1,1.0570282976793162,15100,14723.219727,14973.240234,15047.150391,15131.519531,15241.120117,14908.994064406466,14966.586841670201,-57.592777263735115,-153.8324228615333,96.23964559779819
2023-10-11,3,15194.530273,15248.219727,15119.620117,15241.120117,15241.120117,4160440000,-46.589844000000085,128.5996099999993,0.003066224698159189,-0.008433745860330709,1,57.02050799999961,0,85.94804690000001,4552549000.0,171.35162223207183,57.02050799999961,1,0.9138704492801725,15200,14776.25,14723.219727,14973.240234,15047.150391,15131.519531,14960.090380190086,14986.92263984278,-26.83225965269412,-128.43239021976547,101.60013056707135
2023-10-10,2,15074.040039,15241.94043,15050.540039,15131.519531,15131.519531,4301350000,-57.47949200000039,191.40039100000104,0.0038131444424512446,-0.0125574818953679,0,-109.60058600000048,0,38.565917900000024,4522212000.0,150.03900997477766,109.60058600000048,0,0.9511606267021537,15100,14565.620117,14776.25,14723.219727,14973.240234,15047.150391,14986.464095699303,14997.63352066924,-11.169424969937609,-104.9797971697999,93.81037219986229
2023-10-09,1,14871.570313,15070.639648,14816.320313,15047.150391,15047.150391,3835930000,-175.58007799999905,254.31933500000014,0.011806424896940138,-0.01687515201345488,0,-84.3691400000007,0,44.230078199999845,4438899000.0,143.43010873660353,84.3691400000007,0,0.8641624871392658,15000,14837.570313,14565.620117,14776.25,14723.219727,14973.240234,14995.800448822487,15001.301436990037,-5.500988167550531,-85.08403536935003,79.5830472017995
2023-10-06,5,14622.230469,15021.379883,14575.950195,14973.240234,14973.240234,4309420000,-351.0097650000007,445.42968800000017,0.024005213550980634,-0.02965304728789277,0,-73.91015699999843,0,41.236035100000116,4407557000.0,145.7692360475934,73.91015699999843,0,0.9777343775701596,14900,14715.240234,14837.570313,14565.620117,14776.25,14723.219727,14992.329646542104,14999.222829361146,-6.893182819041613,-69.44586485928836,62.55268204024675
2023-10-05,4,14769.549805,14784.69043,14584.389648,14723.219727,14723.219727,4167470000,46.33007800000087,200.30078200000025,-0.0031368646039784194,-0.0135478509305521,0,-250.0205070000011,1,-5.991015599999992,4322825000.0,156.70155861456965,250.0205070000011,0,0.9640616957660789,14700,14702.769531,14715.240234,14837.570313,14565.620117,14776.25,14950.928120458704,14978.778155112172,-27.850034653467446,-61.12669881812418,33.27666416465674
2023-10-04,3,14613.230469,14803.040039,14592.55957,14776.25,14776.25,4308070000,-163.01953099999992,210.48046900000008,0.01115561212463075,-0.01421873266879435,1,53.03027300000031,0,-13.300976599999922,4291918000.0,151.47116763156853,53.03027300000031,1,1.0037633524219243,14700,14580.160156,14702.769531,14715.240234,14837.570313,14565.620117,14924.054563465057,14963.776069548307,-39.72150608324955,-56.845660271149264,17.124154187899713
2023-10-03,2,14744.049805,14819.870117,14504.139648,14565.620117,14565.620117,4684310000,178.42968800000017,315.7304690000001,-0.012101809907037285,-0.02130453684866124,0,-210.6298829999996,0,-55.638964899999884,4318585000.0,140.00247313662135,210.6298829999996,0,1.0846863034998733,14500,14545.830078,14580.160156,14702.769531,14715.240234,14837.570313,14868.910802470433,14934.283036026209,-65.37223355577589,-58.550974928074595,-6.821258627701297
2023-10-02,1,14717.900391,14892.179688,14701.519531,14837.570313,14837.570313,4554700000,-119.66992200000095,190.66015700000025,0.008130909900244952,-0.012802703230450052,1,271.9501959999998,0,-33.51601559999999,4343186000.0,172.40593663579673,271.9501959999998,1,1.0487001938208496,14800,14768.900391,14545.830078,14580.160156,14702.769531,14715.240234,14864.089188705751,14927.119130616858,-63.02994191110702,-59.44676832468108,-3.5831735864259358
2023-09-29,5,14853.349609,14901.849609,14664.780273,14715.240234,14715.240234,5138500000,138.109375,237.06933600000048,-0.00929819728449105,-0.015908718865128124,0,-122.33007899999939,0,-27.987988299999962,4431881000.0,168.10493815939446,122.33007899999939,0,1.159439975937982,14700,14701.099609,14768.900391,14545.830078,14580.160156,14702.769531,14841.189349520251,14911.424397534129,-70.23504801387753,-61.60442426252037,-8.630623751357163
2023-09-28,4,14530.959961,14787.580078,14510.169922,14702.769531,14702.769531,4648390000,-171.80956999999944,277.41015600000173,0.011823690276562826,-0.01875967227475674,0,-12.470703000000867,0,-48.13300780000009,4410858000.0,150.34815619124436,12.470703000000867,0,1.0538516542586498,14700,14694.240234,14701.099609,14768.900391,14545.830078,14580.160156,14819.89399282483,14895.968481494563,-76.07448866973391,-64.49843714396307,-11.576051525770836
2023-09-27,3,14600.139648,14657.209961,14432.599609,14580.160156,14580.160156,4841410000,19.97949200000039,224.6103519999997,-0.0013684452670791598,-0.015324222863535719,0,-122.609375,0,-66.09599610000005,4478955000.0,147.08421266234234,122.609375,0,1.080924010176481,14500,14969.919922,14694.240234,14701.099609,14768.900391,14545.830078,14783.011864082546,14872.57527219867,-89.56340811612426,-69.51143133839531,-20.051976777728953
2023-09-26,2,14668.450195,14678.480469,14505.679688,14545.830078,14545.830078,4693540000,122.62011699999857,172.80078099999992,-0.008359445978948466,-0.011772388931193796,0,-34.33007799999905,0,-58.5689452999999,4518174000.0,146.53545259440395,34.33007799999905,0,1.0388134675645515,14500,15191.230469,14969.919922,14694.240234,14701.099609,14768.900391,14746.522358531385,14848.37192448025,-101.84956594886535,-75.97905826048932,-25.870507688376023
2023-09-25,1,14662.69043,14771.120117,14615.450195,14768.900391,14768.900391,4100290000,-106.20996099999866,155.66992200000095,0.007243552027988812,-0.010538802796738569,1,223.07031299999835,0,-27.825,4544610000.0,170.76848194966664,223.07031299999835,1,0.9022314346005488,14700,15225.370117,15191.230469,14969.919922,14694.240234,14701.099609,14749.965132757327,14842.485144222454,-92.52001146512703,-79.28724890141687,-13.232762563710153
2023-09-22,5,14756.620117,14855.919922,14686.839844,14701.099609,14701.099609,4302700000,55.52050799999961,169.08007799999905,-0.003762413585211059,-0.011381326695872255,0,-67.80078199999843,1,-27.2140625,4543938000.0,170.59613088326162,67.80078199999843,0,0.9469099270280537,14700,15202.400391,15225.370117,15191.230469,14969.919922,14694.240234,14742.447359871583,14832.012141613384,-89.5647817418012,-81.34275546949374,-8.22202627230746
2023-09-21,4,14813.490234,14849.25,14691.69043,14694.240234,14694.240234,5014890000,119.25,157.55956999999944,-0.008050094752572002,-0.010610607943162076,0,-6.859375,0,-2.8979492999998913,4628680000.0,151.57917873433848,6.859375,0,1.0834384748999715,14600,15473.889648,15202.400391,15225.370117,15191.230469,14969.919922,14735.030878968264,14821.806815123504,-86.77593615523983,-82.42939160664295,-4.346544548596881
