Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram,RSI
2023-09-20,3,15225.339844,15245.19043,14967.599609,14969.919922,14969.919922,4782440000,255.41992200000095,277.5908209999998,-0.016775975092645095,-0.0182084193880417,1,275.67968799999835,0,19.366992199999913,4676117000.0,175.21621074991123,275.67968799999835,1,1.0227374550294615,14900,14694.240234,14701.099609,14768.900391,14545.830078,14580.160156,14770.49395722488,14813.81380467353,-43.31984744864894,-52.66189334986599,9.342045901217048,45.533604193366294
2023-09-19,2,15152.530273,15219.919922,15069.410156,15191.230469,15191.230469,4453460000,-38.70019599999978,150.50976599999922,0.002554041820260139,-0.009888998547386656,1,221.31054700000095,1,62.56103519999997,4653032000.0,165.17057439126177,221.31054700000095,1,0.9571092569318242,15100,14969.919922,14694.240234,14701.099609,14768.900391,14545.830078,14835.22265134413,14841.770594623638,-6.547943279509127,-43.43910333579462,36.89116005628549,53.701951006672104
2023-09-18,1,15161.169922,15268.959961,15155.459961,15225.370117,15225.370117,4855880000,-64.20019500000126,113.5,0.004234514574422251,-0.007433381205393286,1,34.13964800000031,0,38.77998040000002,4683150000.0,147.88901120566064,34.13964800000031,1,1.0368832943638364,15200,15191.230469,14969.919922,14694.240234,14701.099609,14768.900391,14895.24533836811,14870.185374058923,25.059964309186398,-29.739289806798418,54.799254115984816,56.613307198262795
2023-09-15,5,15425.950195,15435.450195,15173.709961,15202.400391,15202.400391,8162210000,223.54980400000022,261.74023399999896,-0.014491801229363442,-0.016957084548449672,0,-22.969726000001174,0,48.71601569999984,4985521000.0,138.9283443379191,22.969726000001174,0,1.6371829543993497,15200,15225.370117,15191.230469,14969.919922,14694.240234,14701.099609,14942.499961849939,14894.793893832337,47.706068017601865,-14.250218241918363,61.956286259520226,64.26828791274329
2023-09-14,4,15433.009766,15512.820313,15337.179688,15473.889648,15473.889648,4649010000,-40.87988200000109,175.640625,0.0026488599838809363,-0.011322288368982799,1,271.4892570000011,1,77.11201170000004,4985583000.0,153.3081647278499,271.4892570000011,1,0.9324907438107037,15400,15202.400391,15225.370117,15191.230469,14969.919922,14694.240234,15024.25222125764,14937.689875622535,86.56234563510588,5.912294533486486,80.6500511016194,68.38177358910058
2023-09-13,3,15293.269531,15414.610352,15256.599609,15348.530273,15348.530273,4840310000,-55.26074200000039,158.0107429999989,0.0036134027382427876,-0.010250712758334335,0,-125.359375,0,76.83701170000003,4985473000.0,153.70817018220094,125.359375,0,0.9708828028955326,15300,15473.889648,15202.400391,15225.370117,15191.230469,14969.919922,15074.141152294927,14968.122497650495,106.0186546444329,25.93356655567577,80.08508808875713,71.59908094484652
2023-09-12,2,15390.589844,15447.849609,15278.879883,15289.740234,15289.740234,4595490000,100.8496099999993,168.96972600000117,-0.006552679983172664,-0.010938074248312108,0,-58.790038999999524,0,74.39101559999999,4975668000.0,155.85340701613896,58.790038999999524,0,0.9235925708869643,15200,15348.530273,15473.889648,15202.400391,15225.370117,15191.230469,15107.310241788015,14991.946033676384,115.36420811163043,43.819694866866705,71.54451324476372,64.13729929112428
2023-09-11,1,15409.769531,15482.839844,15328.349609,15461.870117,15461.870117,4538870000,-52.100586000000476,154.4902349999993,0.0033810100725509985,-0.009978158823354894,1,172.1298829999996,1,69.29697260000012,5019526000.0,151.2174373731282,172.1298829999996,1,0.9042427512079826,15400,15289.740234,15348.530273,15473.889648,15202.400391,15225.370117,15161.857914897551,15026.755225033688,135.1026898638629,62.07629386626594,73.02639599759696,72.63874783386618
2023-09-08,5,15265.570313,15374.219727,15244.05957,15280.230469,15280.230469,4160360000,-14.660155999999915,130.16015700000025,0.0009603411925930785,-0.008466130919894082,0,-181.6396480000003,1,57.91308599999993,5005292000.0,166.2253773885972,181.6396480000003,0,0.8311922661055539,15200,15461.870117,15289.740234,15348.530273,15473.889648,15202.400391,15180.069077067157,15045.531169031194,134.53790803596348,76.56861670020545,57.96929133575803,65.88021146671906
2023-09-07,4,15174.219727,15288.200195,15138.730469,15258.519531,15258.519531,4320830000,-84.29980400000022,149.46972599999935,0.005555462192893038,-0.009776803292311896,0,-21.71093800000017,0,56.427929699999915,4935886000.0,166.9332339567848,21.71093800000017,0,0.8753909632434784,15200,15280.230469,15461.870117,15289.740234,15348.530273,15473.889648,15192.13837767221,15061.308084732587,130.83029293962318,87.420951948089,43.40934099153418,69.75099147194811
2023-09-06,3,15467.320313,15487.0,15289.480469,15371.44043,15371.44043,4215320000,95.87988299999961,197.51953099999992,-0.006198868392181309,-0.012753892361335308,1,112.92089900000065,0,40.15205080000014,4879174000.0,150.28543993808404,112.92089900000065,1,0.8639413146569481,15300,15258.519531,15280.230469,15461.870117,15289.740234,15348.530273,15219.723308799563,15084.280851048692,135.44245775087074,97.02525310864536,38.417204642225386,72.9863603087136
2023-09-05,2,15460.519531,15556.849609,15419.959961,15508.240234,15508.240234,4379790000,-47.72070300000087,136.8896480000003,0.0030866170379537207,-0.008799316792315486,1,136.79980400000022,0,31.70097650000007,4871807000.0,141.05932636911336,136.79980400000022,1,0.8990072882608034,15500,15371.44043,15258.519531,15280.230469,15461.870117,15289.740234,15264.110528061168,15115.685249785825,148.42527827534286,107.30525814198487,41.120020133358,71.6231870640303
2023-09-01,5,15600.950195,15618.849609,15429.360352,15490.860352,15490.860352,4033960000,110.08984299999975,189.4892570000011,-0.0070566114002006625,-0.012132087941407176,0,-17.37988200000109,0,26.54902349999993,4789615000.0,141.8986960071016,17.37988200000109,0,0.8422305341869858,15400,15508.240234,15371.44043,15258.519531,15280.230469,15461.870117,15298.99511635945,15143.475998097985,155.51911826146534,116.94803016588097,38.57108809558437,73.79974919868614
2023-08-31,4,15475.429688,15575.009766,15466.410156,15501.070313,15501.070313,4568610000,-25.640625,108.5996099999993,0.0016568602951220362,-0.006972683268364335,1,10.209961000000476,0,29.866992200000094,4430255000.0,140.99721376484152,10.209961000000476,1,1.0312295793357267,15500,15490.860352,15508.240234,15371.44043,15258.519531,15280.230469,15330.083608150304,15169.964465868505,160.1191422817992,125.58225258906461,34.536889692734604,74.26513870842791
2023-08-30,3,15386.669922,15484.830078,15341.94043,15462.429688,15462.429688,4364600000,-75.75976600000104,142.8896480000003,0.004923727251188968,-0.009227718178387382,0,-38.640625,0,-1.1459960000000138,4401814000.0,113.34110218541502,38.640625,0,0.9915457581806046,15400,15501.070313,15490.860352,15508.240234,15371.44043,15258.519531,15350.444543511796,15191.628556396765,158.81598711503102,132.2289994942579,26.58698762077313,67.27510139823951
